ticker,currency,company_name,exchange,exchange_short,timezone
OKE,USD,"ONEOK, Inc.",New York Stock Exchange,NYSE,America/New_York
ORAN,USD,Orange S.A.,New York Stock Exchange,NYSE,America/New_York
PSO,USD,Pearson plc,New York Stock Exchange,NYSE,America/New_York
PNR,USD,Pentair plc,New York Stock Exchange,NYSE,America/New_York
PFE,USD,Pfizer Inc.,New York Stock Exchange,NYSE,America/New_York
PSX,USD,Phillips 66,New York Stock Exchange,NYSE,America/New_York
QGEN,USD,QIAGEN N.V.,New York Stock Exchange,NYSE,America/New_York
QD,USD,Qudian Inc.,New York Stock Exchange,NYSE,America/New_York
RENN,USD,Renren Inc.,New York Stock Exchange,NYSE,America/New_York
RMD,USD,ResMed Inc.,New York Stock Exchange,NYSE,America/New_York
SE,USD,Sea Limited,New York Stock Exchange,NYSE,America/New_York
SII,USD,Sprott Inc.,New York Stock Exchange,NYSE,America/New_York
SUZ,USD,Suzano S.A.,New York Stock Exchange,NYSE,America/New_York
TWLO,USD,Twilio Inc.,New York Stock Exchange,NYSE,America/New_York
UFI,USD,"Unifi, Inc.",New York Stock Exchange,NYSE,America/New_York
UNVR,USD,Univar Inc.,New York Stock Exchange,NYSE,America/New_York
VAL,USD,Valaris plc,New York Stock Exchange,NYSE,America/New_York
VHI,USD,"Valhi, Inc.",New York Stock Exchange,NYSE,America/New_York
WEI,USD,Weidai Ltd.,New York Stock Exchange,NYSE,America/New_York
XYF,USD,X Financial,New York Stock Exchange,NYSE,America/New_York
ZTS,USD,Zoetis Inc.,New York Stock Exchange,NYSE,America/New_York
ZUO,USD,"Zuora, Inc.",New York Stock Exchange,NYSE,America/New_York
IH,USD,iHuman Inc.,New York Stock Exchange,NYSE,America/New_York
VJET,USD,voxeljet AG,New York Stock Exchange,NYSE,America/New_York
ALE,USD,"ALLETE, Inc.",New York Stock Exchange,NYSE,America/New_York
AME,USD,"AMETEK, Inc.",New York Stock Exchange,NYSE,America/New_York
ALLE,USD,Allegion plc,New York Stock Exchange,NYSE,America/New_York
AGN,USD,Allergan plc,New York Stock Exchange,NYSE,America/New_York
ANTM,USD,"Anthem, Inc.",New York Stock Exchange,NYSE,America/New_York
ARNC,USD,Arconic Inc.,New York Stock Exchange,NYSE,America/New_York
ACA,USD,"Arcosa, Inc.",New York Stock Exchange,NYSE,America/New_York
BT,USD,BT Group plc,New York Stock Exchange,NYSE,America/New_York
BCS,USD,Barclays PLC,New York Stock Exchange,NYSE,America/New_York
BEL,USD,Belmond Ltd.,New York Stock Exchange,NYSE,America/New_York
BAK,USD,Braskem S.A.,New York Stock Exchange,NYSE,America/New_York
WHD,USD,"Cactus, Inc.",New York Stock Exchange,NYSE,America/New_York
KMX,USD,"CarMax, Inc.",New York Stock Exchange,NYSE,America/New_York
