ticker,currency,company_name,exchange,exchange_short,timezone
MICT,USD,"MICT, Inc.",NASDAQ Stock Exchange,NASDAQ,America/New_York
MTBC,USD,"MTBC, Inc.",NASDAQ Stock Exchange,NASDAQ,America/New_York
MTBCP,USD,"MTBC, Inc.",NASDAQ Stock Exchange,NASDAQ,America/New_York
MRUS,USD,Merus N.V.,NASDAQ Stock Exchange,NASDAQ,America/New_York
MYL,USD,Mylan N.V.,NASDAQ Stock Exchange,NASDAQ,America/New_York
NCNA,USD,NuCana plc,NASDAQ Stock Exchange,NASDAQ,America/New_York
OPBK,USD,OP Bancorp,NASDAQ Stock Exchange,NASDAQ,America/New_York
OKTA,USD,"Okta, Inc.",NASDAQ Stock Exchange,NASDAQ,America/New_York
PCAR,USD,PACCAR Inc,NASDAQ Stock Exchange,NASDAQ,America/New_York
REIS,USD,"Reis, Inc.",NASDAQ Stock Exchange,NASDAQ,America/New_York
ROKU,USD,"Roku, Inc.",NASDAQ Stock Exchange,NASDAQ,America/New_York
ROOT,USD,"Root, Inc.",NASDAQ Stock Exchange,NASDAQ,America/New_York
SAIA,USD,"Saia, Inc.",NASDAQ Stock Exchange,NASDAQ,America/New_York
SEER,USD,"Seer, Inc.",NASDAQ Stock Exchange,NASDAQ,America/New_York
WMIH,USD,WMIH Corp.,NASDAQ Stock Exchange,NASDAQ,America/New_York
XPEL,USD,"XPEL, Inc.",NASDAQ Stock Exchange,NASDAQ,America/New_York
YJ,USD,Yunji Inc.,NASDAQ Stock Exchange,NASDAQ,America/New_York
ZNGA,USD,Zynga Inc.,NASDAQ Stock Exchange,NASDAQ,America/New_York
PLUS,USD,ePlus inc.,NASDAQ Stock Exchange,NASDAQ,America/New_York
ICAD,USD,"iCAD, Inc.",NASDAQ Stock Exchange,NASDAQ,America/New_York
IPAS,USD,iPass Inc.,NASDAQ Stock Exchange,NASDAQ,America/New_York
JOBS,USD,"51job, Inc.",NASDAQ Stock Exchange,NASDAQ,America/New_York
ETNB,USD,"89bio, Inc.",NASDAQ Stock Exchange,NASDAQ,America/New_York
ANSS,USD,"ANSYS, Inc.",NASDAQ Stock Exchange,NASDAQ,America/New_York
AGEN,USD,Agenus Inc.,NASDAQ Stock Exchange,NASDAQ,America/New_York
AIRTP,USD,"Air T, Inc.",NASDAQ Stock Exchange,NASDAQ,America/New_York
AIRTW,USD,"Air T, Inc.",NASDAQ Stock Exchange,NASDAQ,America/New_York
AIRT,USD,"Air T, Inc.",NASDAQ Stock Exchange,NASDAQ,America/New_York
SONG,USD,Akazoo S.A.,NASDAQ Stock Exchange,NASDAQ,America/New_York
SONGW,USD,Akazoo S.A.,NASDAQ Stock Exchange,NASDAQ,America/New_York
AKRX,USD,"Akorn, Inc.",NASDAQ Stock Exchange,NASDAQ,America/New_York
ALCO,USD,"Alico, Inc.",NASDAQ Stock Exchange,NASDAQ,America/New_York
AABA,USD,Altaba Inc.,NASDAQ Stock Exchange,NASDAQ,America/New_York
AVT,USD,"Avnet, Inc.",NASDAQ Stock Exchange,NASDAQ,America/New_York
AWRE,USD,"Aware, Inc.",NASDAQ Stock Exchange,NASDAQ,America/New_York
BIDU,USD,"Baidu, Inc.",NASDAQ Stock Exchange,NASDAQ,America/New_York
BSVN,USD,Bank7 Corp.,NASDAQ Stock Exchange,NASDAQ,America/New_York
BZUN,USD,Baozun Inc.,NASDAQ Stock Exchange,NASDAQ,America/New_York
BCML,USD,BayCom Corp,NASDAQ Stock Exchange,NASDAQ,America/New_York
BNTX,USD,BioNTech SE,NASDAQ Stock Exchange,NASDAQ,America/New_York
BIIB,USD,Biogen Inc.,NASDAQ Stock Exchange,NASDAQ,America/New_York
CAMT,USD,Camtek Ltd.,NASDAQ Stock Exchange,NASDAQ,America/New_York
CAN,USD,Canaan Inc.,NASDAQ Stock Exchange,NASDAQ,America/New_York
CDNA,USD,"CareDx, Inc",NASDAQ Stock Exchange,NASDAQ,America/New_York
CRTO,USD,Criteo S.A.,NASDAQ Stock Exchange,NASDAQ,America/New_York
CROX,USD,"Crocs, Inc.",NASDAQ Stock Exchange,NASDAQ,America/New_York
CRIS,USD,"Curis, Inc.",NASDAQ Stock Exchange,NASDAQ,America/New_York
EAR,USD,"Eargo, Inc.",NASDAQ Stock Exchange,NASDAQ,America/New_York
XGN,USD,Exagen Inc.,NASDAQ Stock Exchange,NASDAQ,America/New_York
FANH,USD,Fanhua Inc.,NASDAQ Stock Exchange,NASDAQ,America/New_York
FIVN,USD,"Five9, Inc.",NASDAQ Stock Exchange,NASDAQ,America/New_York
FNKO,USD,"Funko, Inc.",NASDAQ Stock Exchange,NASDAQ,America/New_York
GAN,USD,GAN Limited,NASDAQ Stock Exchange,NASDAQ,America/New_York
GRMN,USD,Garmin Ltd.,NASDAQ Stock Exchange,NASDAQ,America/New_York
GPRO,USD,"GoPro, Inc.",NASDAQ Stock Exchange,NASDAQ,America/New_York
INMD,USD,InMode Ltd.,NASDAQ Stock Exchange,NASDAQ,America/New_York
INTU,USD,Intuit Inc.,NASDAQ Stock Exchange,NASDAQ,America/New_York
ITRI,USD,"Itron, Inc.",NASDAQ Stock Exchange,NASDAQ,America/New_York
JMU,USD,JMU Limited,NASDAQ Stock Exchange,NASDAQ,America/New_York
JMBA,USD,"Jamba, Inc.",NASDAQ Stock Exchange,NASDAQ,America/New_York
JAN,USD,JanOne Inc.,NASDAQ Stock Exchange,NASDAQ,America/New_York
KMDA,USD,Kamada Ltd.,NASDAQ Stock Exchange,NASDAQ,America/New_York
KFRC,USD,Kforce Inc.,NASDAQ Stock Exchange,NASDAQ,America/New_York
MTC,USD,"Mmtec, Inc.",NASDAQ Stock Exchange,NASDAQ,America/New_York
MOSY,USD,"MoSys, Inc.",NASDAQ Stock Exchange,NASDAQ,America/New_York
MNRO,USD,"Monro, Inc.",NASDAQ Stock Exchange,NASDAQ,America/New_York
NOVN,USD,"Novan, Inc.",NASDAQ Stock Exchange,NASDAQ,America/New_York
OPGN,USD,"OpGen, Inc.",NASDAQ Stock Exchange,NASDAQ,America/New_York
OTEL,USD,Otelco Inc.,NASDAQ Stock Exchange,NASDAQ,America/New_York
PAVMW,USD,PAVmed Inc.,NASDAQ Stock Exchange,NASDAQ,America/New_York
PAVM,USD,PAVmed Inc.,NASDAQ Stock Exchange,NASDAQ,America/New_York
PCTI,USD,"PCTEL, Inc.",NASDAQ Stock Exchange,NASDAQ,America/New_York
PETQ,USD,"PetIQ, Inc.",NASDAQ Stock Exchange,NASDAQ,America/New_York
LENS,USD,Presbia PLC,NASDAQ Stock Exchange,NASDAQ,America/New_York
QRVO,USD,"Qorvo, Inc.",NASDAQ Stock Exchange,NASDAQ,America/New_York
RCM,USD,R1 RCM Inc.,NASDAQ Stock Exchange,NASDAQ,America/New_York
RBB,USD,RBB Bancorp,NASDAQ Stock Exchange,NASDAQ,America/New_York
RDCM,USD,Radcom Ltd.,NASDAQ Stock Exchange,NASDAQ,America/New_York
RMBS,USD,Rambus Inc.,NASDAQ Stock Exchange,NASDAQ,America/New_York
SVRA,USD,Savara Inc.,NASDAQ Stock Exchange,NASDAQ,America/New_York
SONC,USD,Sonic Corp.,NASDAQ Stock Exchange,NASDAQ,America/New_York
SONO,USD,"Sonos, Inc.",NASDAQ Stock Exchange,NASDAQ,America/New_York
SPLK,USD,Splunk Inc.,NASDAQ Stock Exchange,NASDAQ,America/New_York
RUN,USD,Sunrun Inc.,NASDAQ Stock Exchange,NASDAQ,America/New_York
TLND,USD,Talend S.A.,NASDAQ Stock Exchange,NASDAQ,America/New_York
TSLA,USD,"Tesla, Inc.",NASDAQ Stock Exchange,NASDAQ,America/New_York
TCX,USD,Tucows Inc.,NASDAQ Stock Exchange,NASDAQ,America/New_York
UPWK,USD,Upwork Inc.,NASDAQ Stock Exchange,NASDAQ,America/New_York
