ticker,compamy_name
VESG,Vanguard Ethically Conscious International Shares INDEX ETF
CVC,CVC Ltd
WCMQ,WCM Quality Global Growth Fund (Quoted Managed Fund)
IMM,Immutep Ltd
GSS,Genetic Signatures Ltd
CLQ,Clean TEQ Holdings Ltd
GGG,Greenland Minerals Ltd
SFG,Seafarms Group Ltd
IHL,Incannex Healthcare Ltd
CDD,Cardno Ltd
DGO,DGO Gold Ltd
QVE,QV Equities Ltd
CPH,Creso Pharma Ltd
WZR,Wisr Ltd
HFR,Highfield Resources Ltd
EMH,European Metals Holdings Ltd
HMY,Harmoney Corp Ltd
VVA,Viva Leisure Ltd
MOAT,Vaneck Vectors Morningstar Wide Moat ETF
GLB,Globe International Ltd
SLA,Silk Laser Australia Ltd
ISEC,Ishares Enhanced Cash ETF
ECF,Elanor Commercial Property Fund
AVJ,Avjennings Ltd
LME,"Limeade, Inc"
ARU,Arafura Resources Ltd
TGP,360 Capital Group
SYI,SPDR MSCI Australia Select High Dividend Yield Fund
DTC,Damstra Holdings Ltd
DYL,Deep Yellow Ltd
FMS,Flinders Mines Ltd
WOT,Wotso Property
SLX,SILEX Systems Ltd
LYL,Lycopodium Ltd
AXE,Archer Materials Ltd
AJM,Altura Mining Ltd
IGL,Ive Group Ltd
ROBO,ETFs Robo Global Robotics and Automation ETF
WGO,Warrego Energy Ltd
VTH,Vitalharvest Freehold Trust
CL1,Class Ltd
SMP,Smartpay Holdings Ltd
OBM,Ora Banda Mining Ltd
SRG,SRG Global Ltd
VCF,Vanguard International Credit Securities INDEX (Hedged) ETF
OPY,Openpay Group Ltd
JHC,Japara Healthcare Ltd
GNG,GR Engineering Services Ltd
AVG,Australian Vintage Ltd
BNO,Bionomics Ltd
NTU,Northern Minerals Ltd
ST1,Spirit Technology Solutions Ltd
NMT,Neometals Ltd
FEMX,Fidelity Global Emerging Markets Fund (Managed Fund)
KCN,Kingsgate Consolidated Ltd
CYL,Catalyst Metals Ltd
GVF,Global Value Fund Ltd
ALF,Australian Leaders Fund Ltd
NCZ,New Century Resources Ltd
AMS,Atomos Ltd
KLL,Kalium Lakes Ltd
AIS,Aeris Resources Ltd
BBUS,Betashares US Equities Strong Bear Currency Hedged (HF)
LVT,Livetiles Ltd
WMA,Wam Alternative Assets Ltd
FID,Fiducian Group Ltd
MLX,Metals X Ltd
ORR,Orecorp Ltd
PAXX,Platinum Asia Fund (Quoted Managed Hedge Fund)
SMR,Stanmore Coal Ltd
NZK,New Zealand King Salmon Investments Ltd
CRO,Cirralto Ltd
WDMF,Ishares Edge MSCI World Multifactor ETF
FANG,ETFs Fang+ ETF
IRD,Iron Road Ltd
EOF,Ecofibre Ltd
PCG,Pengana Capital Group Ltd
IMA,Image Resources NL
KZA,KAZIA Therapeutics Ltd
DSK,Dusk Group Ltd
